0.003962926,0.000954099,0.001262459,0.002001269,0.00142504,0.001311246,0.001181182,0.00188583,0.000817266,0.001060755,0.000783662,0.002034731,0.001322348,0.002164304,0.001343371,0.000970551,0.00206632,0.001275194,0.001721776,0.001613976,0.001497906,0.001059314,0.001203231,0.001940165,0.0009853,0.00196938,0.001541261,0.002056257,0.001445109,0.000785972,0.000830241,0.001638885,0.002151245,0.002051446,0.001263586,0.001919871,0.000841295,0.001686171,0.002115092,0.001397967,0.001590018,0.001068818,0.000761669,0.001401303,0.001345545,0.001114013,0.001612225,0.001885528,0.00130039,0.00143072
0.000954099,0.009009886,0.001438661,0.002280587,0.001623934,0.001494258,0.00134604,0.002149036,0.000931332,0.001208805,0.000893038,0.00231872,0.00150691,0.002466378,0.001530866,0.001106011,0.002354718,0.001453174,0.001962085,0.00183924,0.00170697,0.001207164,0.001371167,0.002210955,0.001122819,0.002244247,0.001756376,0.002343251,0.001646805,0.000895671,0.000946118,0.001867625,0.002451495,0.002337767,0.001439946,0.002187829,0.000958715,0.001921511,0.002410297,0.001593082,0.001811938,0.001217994,0.000867976,0.001596884,0.001533344,0.001269497,0.001837245,0.002148692,0.001481887,0.001630407
0.001262459,0.001438661,0.004195372,0.003017661,0.00214878,0.001977193,0.001781073,0.002843593,0.001232334,0.001599484,0.001181663,0.003068118,0.001993935,0.003263498,0.002025634,0.001463468,0.003115751,0.001922832,0.00259622,0.002433672,0.002258653,0.001597312,0.00181432,0.002925523,0.001485708,0.002969576,0.002324027,0.003100577,0.002179043,0.001185147,0.001251899,0.002471232,0.003243806,0.003093321,0.001905328,0.002894923,0.001268566,0.002542533,0.003189292,0.002107958,0.002397546,0.001611643,0.001148501,0.002112988,0.002028912,0.001679791,0.002431033,0.002843138,0.001960824,0.002157345
0.002001269,0.002280587,0.003017661,0.006961566,0.003406279,0.003134277,0.002823384,0.004507706,0.001953514,0.002535526,0.00187319,0.004863626,0.003160815,0.005173346,0.003211065,0.002319911,0.004939135,0.003048102,0.004115568,0.003857894,0.003580451,0.002532083,0.002876088,0.004637584,0.002355166,0.004707417,0.003684082,0.004915081,0.003454251,0.001878712,0.001984529,0.003917434,0.005142129,0.004903579,0.003020355,0.004589075,0.002010951,0.004030462,0.005055714,0.003341566,0.003800626,0.002554801,0.001820621,0.00334954,0.003216262,0.002662831,0.003853709,0.004506984,0.003108328,0.003419856
0.00142504,0.001623934,0.00214878,0.003406279,0.005601368,0.002231819,0.002010442,0.003209795,0.001391035,0.001805468,0.001333839,0.003463234,0.002250716,0.003683775,0.002286497,0.001651935,0.003517001,0.002170456,0.002930565,0.002747084,0.002549526,0.001803016,0.002047971,0.003302276,0.001677039,0.003352002,0.002623318,0.003499873,0.002459663,0.001337771,0.00141312,0.00278948,0.003661547,0.003491683,0.002150699,0.003267735,0.001431934,0.002869964,0.003600013,0.002379423,0.002706305,0.001819193,0.001296406,0.002385101,0.002290198,0.001896117,0.002744104,0.003209281,0.002213342,0.002435171
0.001311246,0.001494258,0.001977193,0.003134277,0.002231819,0.002999934,0.001849902,0.002953482,0.001279957,0.001661295,0.001227328,0.003186684,0.002070989,0.003389614,0.002103913,0.001520023,0.003236157,0.001997138,0.00269655,0.00252772,0.002345938,0.00165904,0.001884434,0.003038579,0.001543122,0.003084334,0.002413838,0.003220397,0.002263251,0.001230946,0.001300278,0.002566731,0.003369161,0.003212861,0.001978959,0.003006796,0.00131759,0.002640788,0.003312541,0.002189419,0.002490198,0.001673924,0.001192884,0.002194643,0.002107318,0.001744706,0.002524979,0.002953009,0.002036599,0.002240715
0.001181182,0.00134604,0.001781073,0.002823384,0.002010442,0.001849902,0.003834529,0.002660523,0.001152996,0.00149651,0.001105588,0.002870593,0.001865565,0.003053394,0.001895224,0.00136925,0.002915159,0.00179904,0.002429076,0.002276993,0.002113242,0.001494478,0.001697515,0.002737179,0.001390058,0.002778395,0.002174406,0.002900962,0.002038756,0.001108847,0.001171302,0.002312134,0.00303497,0.002894174,0.001782664,0.002708548,0.001186896,0.002378845,0.002983966,0.001972248,0.002243192,0.001507886,0.001074561,0.001976954,0.001898291,0.001571647,0.002274523,0.002660097,0.001834587,0.002018456
0.00188583,0.002149036,0.002843593,0.004507706,0.003209795,0.002953482,0.002660523,0.01002985,0.001840829,0.002389269,0.001765139,0.004583078,0.00297849,0.004874932,0.003025841,0.002186092,0.004654231,0.002872278,0.00387817,0.003635359,0.00337392,0.002386025,0.002710187,0.004370074,0.002219313,0.004435879,0.003471574,0.004631564,0.003255,0.001770342,0.001870055,0.003691465,0.004845516,0.004620726,0.002846132,0.004324364,0.001894953,0.003797973,0.004764085,0.003148815,0.003581395,0.002407432,0.001715602,0.003156329,0.003030738,0.002509231,0.003631416,0.004247008,0.002929031,0.003222589
0.000817266,0.000931332,0.001232334,0.001953514,0.001391035,0.001279957,0.001152996,0.001840829,0.007317605,0.001035442,0.000764962,0.001986178,0.001290794,0.002112659,0.001311315,0.000947391,0.002017013,0.001244765,0.00168069,0.001575463,0.001462163,0.001034037,0.001174519,0.001893868,0.000961788,0.001922386,0.001504483,0.00200719,0.001410626,0.000767217,0.00081043,0.001599777,0.002099911,0.002002493,0.001233434,0.001874058,0.00082122,0.001645935,0.002064621,0.001364608,0.001552076,0.001043314,0.000743494,0.001367865,0.001313437,0.00108743,0.001573754,0.001840534,0.00126936,0.00139658
0.001060755,0.001208805,0.001599484,0.002535526,0.001805468,0.001661295,0.00149651,0.002389269,0.001035442,0.00621728,0.000992868,0.002577922,0.001675362,0.002742086,0.001701996,0.001229648,0.002617944,0.001615619,0.00218142,0.002044842,0.001897786,0.001342108,0.001524445,0.00245811,0.001248335,0.002495124,0.001952715,0.002605194,0.001830895,0.000995794,0.001051882,0.002076401,0.00272554,0.002599098,0.001600912,0.002432398,0.001065886,0.00213631,0.002679736,0.001771167,0.002014488,0.001354149,0.000965004,0.001775394,0.001704751,0.001411409,0.002042624,0.002388887,0.001647541,0.001812664
